TAID,Name,IUPAC Name,PubChem CID,SMILES,InChIKey,Toxicity Value,EPACategoryIndex,EPACategory,tox10,tox50,tox500,tox2000
TOX-6577,Thionazin,diethoxy-pyrazin-2-yloxy-sulfanylidene-lambda5-phosphane,9272,CCOP(=S)(OCC)Oc1cnccn1,IRVDMKJLOCGUBJ-UHFFFAOYSA-N,2.419961003,0,<10,1,1,1,1
TOX-6578,,dimethoxy-(4-nitrophenoxy)-sulfanylidene-lambda5-phosphane,4130,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,RLBIQVVOMOPOHC-UHFFFAOYSA-N,4.999981002,0,<10,1,1,1,1
TOX-6579,phorate,diethoxy-(ethylsulfanylmethylsulfanyl)-sulfanylidene-lambda5-phosphane,4790,CCOP(=S)(OCC)SCSCC,BULVZWIRKLYCBC-UHFFFAOYSA-N,1.000053767,0,<10,1,1,1,1
TOX-6581,disulfoton,diethoxy-(2-ethylsulfanylethylsulfanyl)-sulfanylidene-lambda5-phosphane,3118,CCOP(=S)(OCC)SCCSCC,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,2.399886303,0,<10,1,1,1,1
TOX-6591,Crufomate,N-[(4-tert-butyl-2-chlorophenoxy)-methoxyphosphoryl]methanamine,9300,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,BOFHKBLZOYVHSI-UHFFFAOYSA-N,99.99828603,2,50-500,0,0,1,1
TOX-6599,,1-dimethoxyphosphorylsulfanyl-2-ethylsulfinylethane,4618,CCS(=O)CCSP(=O)(OC)OC,PMCVMORKVPSKHZ-UHFFFAOYSA-N,42.00170534,1,10-50,0,1,1,1
TOX-6651,,"17-[3-(dimethylamino)propyl-methylamino]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",9402,CN(C)CCCN(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C,FMTFZYKYVZBISL-UHFFFAOYSA-N,421.956567,2,50-500,0,0,1,1
TOX-6659,Mexacarbate,"[4-(dimethylamino)-3,5-dimethylphenyl] N-methylcarbamate",9414,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,YNEVBPNZHBAYOA-UHFFFAOYSA-N,0.999964012,0,<10,1,1,1,1
TOX-6661,,"2-[(6,7-dimethoxy-1,2,3,4-tetrahydroisoquinolin-1-yl)methyl]-3-ethyl-9,10-dimethoxy-2,3,4,6,7,11b-hexahydro-1H-benzo[a]quinolizine",9426,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,AUVVAXYIELKVAI-UHFFFAOYSA-N,56.1942706,2,50-500,0,0,1,1
TOX-6692,Trichloronat,"ethoxy-ethyl-sulfanylidene-(2,4,5-trichlorophenoxy)-lambda5-phosphane",9477,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,ANIAQSUBRGXWLS-UHFFFAOYSA-N,1.599980814,0,<10,1,1,1,1
TOX-6712,,"[3,5-di(propan-2-yl)phenyl] N-methylcarbamate",9503,CNC(=O)Oc1cc(C(C)C)cc(C(C)C)c1,CUTUCYVZTGGYDL-UHFFFAOYSA-N,9.99970255,0,<10,1,1,1,1
TOX-6730,Cyloone,"N-diethoxyphosphinothioyl-1,3-dithiolan-2-imine",67625,CCOP(=S)(N=C1SCCS1)OCC,YWITZONHXPIYDK-UHFFFAOYSA-N,1.800205625,0,<10,1,1,1,1
TOX-6734,diazinon,diethoxy-(6-methyl-2-propan-2-ylpyrimidin-4-yl)oxy-sulfanylidene-lambda5-phosphane,3017,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,FHIVAFMUCKRCQO-UHFFFAOYSA-N,1.999986859,0,<10,1,1,1,1
TOX-6796,,1-pyridin-3-ylethanone,9589,CC(=O)c1cccnc1,WEGYGNROSJDEIW-UHFFFAOYSA-N,178.0014694,2,50-500,0,0,1,1
TOX-6879,,4-fluoroaniline,9731,Nc1ccc(F)cc1,KRZCOLNOCZKSDF-UHFFFAOYSA-N,100.0009,2,50-500,0,0,1,1
TOX-6887,,3-fluoroaniline,9742,Nc1cccc(F)c1,QZVQQUVWFIZUBQ-UHFFFAOYSA-N,56.00050401,2,50-500,0,0,1,1
TOX-7073,,3-fluoro-4-methylaniline,9957,Cc1ccc(N)cc1F,MGRHBBRSAFPBIN-UHFFFAOYSA-N,1.299937672,0,<10,1,1,1,1
TOX-7074,,2-fluoro-4-methylaniline,67984,Cc1ccc(N)c(F)c1,ZQEXBVHABAJPHJ-UHFFFAOYSA-N,99.99520559,2,50-500,0,0,1,1
TOX-7118,,pyridin-3-amine,10009,Nc1cccnc1,CUYKNJBYIJFRCU-UHFFFAOYSA-N,13.29901079,1,10-50,0,1,1,1
TOX-7217,Chlorfenvinphos,"[2-chloro-1-(2,4-dichlorophenyl)ethenyl] diethyl phosphate",10107,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,FSAVDKDHPDSCTO-UHFFFAOYSA-N,13.00097616,1,10-50,0,1,1,1
TOX-7296,FLAVANONE,"2-phenyl-2,3-dihydrochromen-4-one",10251,O=C1CC(c2ccccc2)Oc2ccccc21,ZONYXWQDUYMKFB-UHFFFAOYSA-N,74.99699006,2,50-500,0,0,1,1
TOX-7363,Chlorthion,(3-chloro-4-nitrophenoxy)-dimethoxy-sulfanylidene-lambda5-phosphane,10372,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,NZNRRXXETLSZRO-UHFFFAOYSA-N,19.99959683,1,10-50,0,1,1,1
TOX-7392,,pyridin-2-amine,10439,Nc1ccccn1,ICSNLGPSRYBMBD-UHFFFAOYSA-N,31.59764972,1,10-50,0,1,1,1
TOX-7536,,"naphthalene-1,2-dione",10667,O=C1C=Cc2ccccc2C1=O,KETQAJRQOHHATG-UHFFFAOYSA-N,74.99715473,2,50-500,0,0,1,1
TOX-7629,m-Anisidine,3-methoxyaniline,10824,COc1cccc(N)c1,NCBZRJODKRCREW-UHFFFAOYSA-N,561.9771832,3,500-2000,0,0,0,1
TOX-7668,,4-iodoaniline,10893,Nc1ccc(I)cc1,VLVCDUSVTXIWGW-UHFFFAOYSA-N,99.99771716,2,50-500,0,0,1,1
TOX-7800,trichlormethine,"2-chloro-N,N-bis(2-chloroethyl)ethanamine",5561,ClCCN(CCCl)CCCl,FDAYLTPAFBGXAB-UHFFFAOYSA-N,31.59567394,1,10-50,0,1,1,1
TOX-7843,ethion,diethoxyphosphinothioylsulfanylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane,3286,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,RIZMRRKBZQXFOY-UHFFFAOYSA-N,45.00152146,1,10-50,0,1,1,1
TOX-7898,,2-ethylaniline,11357,CCc1ccccc1N,MLPVBIWIRCKMJV-UHFFFAOYSA-N,749.9814335,3,500-2000,0,0,0,1
TOX-7940,,"2,4-diisocyanato-1-methylbenzene",11443,Cc1ccc(N=C=O)cc1N=C=O,DVKJHBMWWAPEIU-UHFFFAOYSA-N,100.0005743,2,50-500,0,0,1,1
TOX-7945,,pyridin-4-ylmethanol,11472,OCc1ccncc1,PTMBWNZJOQBTBK-UHFFFAOYSA-N,422.007734,2,50-500,0,0,1,1
TOX-7946,,pyridin-2-ylmethanol,11474,OCc1ccccn1,SHNUBALDGXWUJI-UHFFFAOYSA-N,750.0137445,3,500-2000,0,0,0,1
TOX-7947,,3-ethylaniline,11475,CCc1cccc(N)c1,AMKPQMFZCBTTAT-UHFFFAOYSA-N,315.9921772,2,50-500,0,0,1,1
TOX-7959,,4-ethylaniline,11504,CCc1ccc(N)cc1,HRXZRAXKKNUKRF-UHFFFAOYSA-N,74.99814335,2,50-500,0,0,1,1
TOX-7984,,3-aminophenol,11568,Nc1cccc(O)c1,CWLKGDAVCFYWJK-UHFFFAOYSA-N,237.0043435,2,50-500,0,0,1,1
TOX-8185,,2-chloro-5-methylphenol,12008,Cc1ccc(Cl)c(O)c1,SMFHPCZZAAMJJO-UHFFFAOYSA-N,561.980293,3,500-2000,0,0,0,1
TOX-8292,p-Phenylenediamine,"benzene-1,4-diamine",7814,Nc1ccc(N)cc1,CBCKQZAAMUWICA-UHFFFAOYSA-N,99.99630125,2,50-500,0,0,1,1
TOX-8330,,3-chloropyridine,12287,Clc1cccnc1,PWRBCZZQRRPXAB-UHFFFAOYSA-N,749.9537635,3,500-2000,0,0,0,1
TOX-8407,,4-chloro-3-nitroaniline,12477,Nc1ccc(Cl)c([N+](=O)[O-])c1,FOHHWGVAOVDVLP-UHFFFAOYSA-N,99.99942046,2,50-500,0,0,1,1
TOX-8416,distamycin a,N-[5-[[5-[(3-amino-3-iminopropyl)carbamoyl]-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-4-formamido-1-methylpyrrole-2-carboxamide,3115,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)cc1C(=O)NCCC(=N)N,UPBAOYRENQEPJO-UHFFFAOYSA-N,71.99745805,2,50-500,0,0,1,1
TOX-8421,,2-propylpiperidine,9985,CCCC1CCCCN1,NDNUANOUGZGEPO-UHFFFAOYSA-N,56.19955829,2,50-500,0,0,1,1
TOX-8447,FLUOROACETAMIDE,2-fluoroacetamide,12542,NC(=O)CF,FVTWJXMFYOXOKK-UHFFFAOYSA-N,5.620145869,0,<10,1,1,1,1
TOX-8460,DIMETILAN,"[1-(dimethylcarbamoyl)-5-methylpyrazol-3-yl] N,N-dimethylcarbamate",12572,Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,RDBIYWSVMRVKSG-UHFFFAOYSA-N,8.999887625,0,<10,1,1,1,1
TOX-8505,,"(2,4-dichloro-3,5-dimethylphenyl) N-methylcarbamate",120314,CNC(=O)Oc1cc(C)c(Cl)c(C)c1Cl,UZXVGUUDTLGQQN-UHFFFAOYSA-N,99.99637264,2,50-500,0,0,1,1
TOX-8509,CARBANOLATE,"(2-chloro-4,5-dimethylphenyl) N-methylcarbamate",522251,CNC(=O)Oc1cc(C)c(C)cc1Cl,QRTXZGIQTYDABO-UHFFFAOYSA-N,1.779966678,0,<10,1,1,1,1
TOX-8518,,"(2,4-dichloro-5-ethyl-3-methylphenyl) N-methylcarbamate",12644,CCc1cc(OC(=O)NC)c(Cl)c(C)c1Cl,AZXKDALZKPSQGB-UHFFFAOYSA-N,12.99970244,1,10-50,0,1,1,1
TOX-8524,,"(4-chloro-3,5-dimethylphenyl) N-methylcarbamate",12653,CNC(=O)Oc1cc(C)c(Cl)c(C)c1,UVPPWESDRAKSEO-UHFFFAOYSA-N,99.9981278,2,50-500,0,0,1,1
TOX-8526,,(3-butan-2-ylphenyl) N-methylcarbamate,12655,CCC(C)c1cccc(OC(=O)NC)c1,NTZPCBGVBWXEOC-UHFFFAOYSA-N,4.599933417,0,<10,1,1,1,1
TOX-8596,,1-hydroxypyridin-1-ium,3877978,O[n+]1ccccc1,DEINLRGVTJVCOS-UHFFFAOYSA-N,1000.010404,3,500-2000,0,0,0,1
TOX-8740,Phosmet,"2-(dimethoxyphosphinothioylsulfanylmethyl)isoindole-1,3-dione",12901,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,LMNZTLDVJIUSHT-UHFFFAOYSA-N,17.99841176,1,10-50,0,1,1,1
TOX-8813,EPTC,"S-ethyl N,N-dipropylcarbamothioate",12968,CCCN(CCC)C(=O)SCC,GUVLYNGULCJVDO-UHFFFAOYSA-N,99.99788712,2,50-500,0,0,1,1
TOX-8891,CARBOPHENOTHION,(4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane,13081,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,VEDTXTNSFWUXGQ-UHFFFAOYSA-N,5.600408307,0,<10,1,1,1,1
TOX-9088,,"2-chloro-N,N-diethylethanamine",13364,CCN(CC)CCCl,YMDNODNLFSHHCV-UHFFFAOYSA-N,41.99752282,1,10-50,0,1,1,1
TOX-9115,,4-aminobenzonitrile,13396,N#Cc1ccc(N)cc1,YBAZINRZQSAIAY-UHFFFAOYSA-N,23.70020063,1,10-50,0,1,1,1
TOX-9195,,tricyclohexylstannyl acetate,16684298,CC(=O)O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,FJEZLYTXQIEUAT-UHFFFAOYSA-M,104.4312384,2,50-500,0,0,1,1
TOX-9250,ISOPROPYL METHANESULFONATE,propan-2-yl methanesulfonate,13551,CC(C)OS(C)(=O)=O,SWWHCQCMVCPLEQ-UHFFFAOYSA-N,287.0041535,2,50-500,0,0,1,1
TOX-9347,Fonofos,ethoxy-ethyl-phenylsulfanyl-sulfanylidene-lambda5-phosphane,13676,CCOP(=S)(CC)Sc1ccccc1,KVGLBTYUCJYMND-UHFFFAOYSA-N,9.998497995,0,<10,1,1,1,1
TOX-9356,Phosfolan,"N-diethoxyphosphoryl-1,3-dithiolan-2-imine",13689,CCOP(=O)(N=C1SCCS1)OCC,ILBONRFSLATCRE-UHFFFAOYSA-N,2.369990716,0,<10,1,1,1,1
TOX-9378,METHYL TRITHION,(4-chlorophenyl)sulfanylmethylsulfanyl-dimethoxy-sulfanylidene-lambda5-phosphane,13721,COP(=S)(OC)SCSc1ccc(Cl)cc1,OUCCVXVYGFBXSV-UHFFFAOYSA-N,17.99879932,1,10-50,0,1,1,1
TOX-9390,PHENCYCLIDINE,1-(1-phenylcyclohexyl)piperidine,6468,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,JTJMJGYZQZDUJJ-UHFFFAOYSA-N,5.600138049,0,<10,1,1,1,1
TOX-9524,,1-hydroxy-4-methylpyridin-1-ium,3877972,Cc1cc[n+](O)cc1,KBWCJCSTDQPGLN-UHFFFAOYSA-N,999.9455228,3,500-2000,0,0,0,1
TOX-9703,Acethydrazide,acetohydrazide,14039,CC(=O)NN,OFLXLNCGODUUOT-UHFFFAOYSA-N,42.19829109,1,10-50,0,1,1,1
TOX-9746,MOBAM,1-benzothiophen-4-yl N-methylcarbamate,14119,CNC(=O)Oc1cccc2sccc12,BOTUVXISJHKZKJ-UHFFFAOYSA-N,17.79965645,1,10-50,0,1,1,1
TOX-9876,pyrithione,1-hydroxypyridine-2-thione,1570,On1ccccc1=S,YBBJKCMMCRQZMA-UHFFFAOYSA-N,100.0015727,2,50-500,0,0,1,1
TOX-9882,,1-pyridin-2-ylethanone,14286,CC(=O)c1ccccn1,AJKVQEKCUACUMD-UHFFFAOYSA-N,1000.008256,3,500-2000,0,0,0,1
TOX-9895,,4-nitro-1-oxidopyridin-1-ium,14300,O=[N+]([O-])c1cc[n+]([O-])cc1,RXKNNAKAVAHBNK-UHFFFAOYSA-N,8.000114214,0,<10,1,1,1,1
TOX-9914,METOLCARB,(3-methylphenyl) N-methylcarbamate,14322,CNC(=O)Oc1cccc(C)c1,VOEYXMAFNDNNED-UHFFFAOYSA-N,99.99878935,2,50-500,0,0,1,1
TOX-9938,,(4-aminophenyl)-phenylmethanone,14346,Nc1ccc(C(=O)c2ccccc2)cc1,RBKHNGHPZZZJCI-UHFFFAOYSA-N,561.980054,3,500-2000,0,0,0,1
TOX-10038,,[4-(4-dimethoxyphosphinothioyloxyphenyl)sulfonylphenoxy]-dimethoxy-sulfanylidene-lambda5-phosphane,70897,COP(=S)(OC)Oc1ccc(S(=O)(=O)c2ccc(OP(=S)(OC)OC)cc2)cc1,ZFHDDQUVNSDLLJ-UHFFFAOYSA-N,42.00193792,1,10-50,0,1,1,1
TOX-10041,,"methyl 6,17,18-trimethoxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate",14443,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC)C1OC,FPGCYQVKNKEGRQ-UHFFFAOYSA-N,99.99323276,2,50-500,0,0,1,1
TOX-10225,carbofuran,"(2,2-dimethyl-3H-1-benzofuran-7-yl) N-methylcarbamate",2566,CNC(=O)Oc1cccc2c1OC(C)(C)C2,DUEPRVBVGDRKAG-UHFFFAOYSA-N,0.419988611,0,<10,1,1,1,1
TOX-10417,,1-(4-aminophenyl)butan-1-one,15527,CCCC(=O)c1ccc(N)cc1,CYCSOZSEBPZGPC-UHFFFAOYSA-N,42.19999996,1,10-50,0,1,1,1
TOX-10419,Ioxynil,"4-hydroxy-3,5-diiodobenzonitrile",15530,N#Cc1cc(I)c(O)c(I)c1,NRXQIUSYPAHGNM-UHFFFAOYSA-N,51.23406317,2,50-500,0,0,1,1
TOX-10420,BROMOXYNIL,"3,5-dibromo-4-hydroxybenzonitrile",15531,N#Cc1cc(Br)c(O)c(Br)c1,UPMXNNIRAGDFEH-UHFFFAOYSA-N,49.9990972,1,10-50,0,1,1,1
TOX-10421,Bromoxynil octanoate,"(2,6-dibromo-4-cyanophenyl) octanoate",15533,CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,DQKWXTIYGWPGOO-UHFFFAOYSA-N,174.9982634,2,50-500,0,0,1,1
TOX-10532,Diamidafos,N-[methylamino(phenoxy)phosphoryl]methanamine,15643,CNP(=O)(NC)Oc1ccccc1,ZKIBFASDNPOJFP-UHFFFAOYSA-N,12.99948045,1,10-50,0,1,1,1
TOX-10538,AKTON,"[2-chloro-1-(2,5-dichlorophenyl)ethenoxy]-diethoxy-sulfanylidene-lambda5-phosphane",15649,CCOP(=S)(OCC)OC(=CCl)c1cc(Cl)ccc1Cl,QCKIOHMRUZJYQZ-UHFFFAOYSA-N,74.99181393,2,50-500,0,0,1,1
TOX-10583,,3-methylsulfanylaniline,15693,CSc1cccc(N)c1,KCHLDNLIJVSRPK-UHFFFAOYSA-N,749.9838395,3,500-2000,0,0,0,1
TOX-10869,,N-[4-(dimethylaminodiazenyl)phenyl]acetamide,16010,CC(=O)Nc1ccc(N=NN(C)C)cc1,KTBWSGZJCVRIRH-UHFFFAOYSA-N,55.99755629,2,50-500,0,0,1,1
TOX-10903,PHENYL METHYLCARBAMATE,phenyl N-methylcarbamate,16034,CNC(=O)Oc1ccccc1,SCWKRWCUMCMVPW-UHFFFAOYSA-N,99.99669245,2,50-500,0,0,1,1
TOX-10983,,3-methylpyridin-4-amine,74811,Cc1cnccc1N,VGJLGPCXUGIXRQ-UHFFFAOYSA-N,2.399911232,0,<10,1,1,1,1
TOX-11081,AMINOCARB,[4-(dimethylamino)-3-methylphenyl] N-methylcarbamate,16247,CNC(=O)Oc1ccc(N(C)C)c(C)c1,IMIDOCRTMDIQIJ-UHFFFAOYSA-N,49.99975992,1,10-50,0,1,1,1
TOX-11082,METHIOCARB,"(3,5-dimethyl-4-methylsulfanylphenyl) N-methylcarbamate",16248,CNC(=O)Oc1cc(C)c(SC)c(C)c1,YFBPRJGDJKVWAH-UHFFFAOYSA-N,2.399968047,0,<10,1,1,1,1
TOX-11234,,ethoxy-(4-nitrophenoxy)-phenyl-sulfanylidene-lambda5-phosphane,16421,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,AIGRXSNSLVJMEA-UHFFFAOYSA-N,2.369999998,0,<10,1,1,1,1
TOX-11377,Methiocarb sulfone,"(3,5-dimethyl-4-methylsulfonylphenyl) N-methylcarbamate",16589,CNC(=O)Oc1cc(C)c(S(C)(=O)=O)c(C)c1,RJBJMKAMQIOAML-UHFFFAOYSA-N,1.799993003,0,<10,1,1,1,1
TOX-11428,,"N-[methoxy-(2,4,5-trichlorophenoxy)phosphoryl]ethanamine",75178,CCNP(=O)(OC)Oc1cc(Cl)c(Cl)cc1Cl,GFUPZVAJBBMJEJ-UHFFFAOYSA-N,55.99578053,2,50-500,0,0,1,1
TOX-11470,,3-aminobenzonitrile,16702,N#Cc1cccc(N)c1,NJXPYZHXZZCTNI-UHFFFAOYSA-N,562.0047569,3,500-2000,0,0,0,1
TOX-11544,VAMIDOTHION,2-(2-dimethoxyphosphorylsulfanylethylsulfanyl)-N-methylpropanamide,560193,CNC(=O)C(C)SCCSP(=O)(OC)OC,LESVOLZBIFDZGS-UHFFFAOYSA-N,34.99476238,1,10-50,0,1,1,1
TOX-11758,,(4-chloro-3-methylphenyl) N-methylcarbamate,75765,CNC(=O)Oc1ccc(Cl)c(C)c1,CWOGPWIJFSPUMU-UHFFFAOYSA-N,99.99649363,2,50-500,0,0,1,1
TOX-11762,,"1,9,10,11,12,12-hexachloro-5-methyl-4,6-dioxatricyclo[7.2.1.02,8]dodec-10-ene",102854,CC1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,VJWJSBXWCZQODM-UHFFFAOYSA-N,49.9978032,1,10-50,0,1,1,1
TOX-11815,,(4-chlorophenyl) N-methylcarbamate,17491,CNC(=O)Oc1ccc(Cl)cc1,WMMQJAQJAPXWDO-UHFFFAOYSA-N,99.99999994,2,50-500,0,0,1,1
TOX-11828,PROMECARB,(3-methyl-5-propan-2-ylphenyl) N-methylcarbamate,17516,CNC(=O)Oc1cc(C)cc(C(C)C)c1,DTAPQAJKAFRNJB-UHFFFAOYSA-N,4.999927631,0,<10,1,1,1,1
TOX-11829,Isoprocarb,(2-propan-2-ylphenyl) N-methylcarbamate,17517,CNC(=O)Oc1ccccc1C(C)C,QBSJMKIUCUGGNG-UHFFFAOYSA-N,56.19825503,2,50-500,0,0,1,1
TOX-11832,Methiocarb sulfoxide,"(3,5-dimethyl-4-methylsulfinylphenyl) N-methylcarbamate",17521,CNC(=O)Oc1cc(C)c(S(C)=O)c(C)c1,FNCMBMZOZQAWJA-UHFFFAOYSA-N,41.99965187,1,10-50,0,1,1,1
TOX-11834,CYANOPHOS,4-dimethoxyphosphinothioyloxybenzonitrile,17522,COP(=S)(OC)Oc1ccc(C#N)cc1,SCKHCCSZFPSHGR-UHFFFAOYSA-N,2.999950661,0,<10,1,1,1,1
TOX-11871,,"(3,5-dimethylphenyl) N-methylcarbamate",17563,CNC(=O)Oc1cc(C)cc(C)c1,CVQODEWAPZVVBU-UHFFFAOYSA-N,75.00041854,2,50-500,0,0,1,1
TOX-11889,,"2-diethoxyphosphinothioyloxybenzo[de]isoquinoline-1,3-dione",17579,CCOP(=S)(OCC)ON1C(=O)c2cccc3cccc(c23)C1=O,OQMPNMGXNJHPJP-UHFFFAOYSA-N,17.79771013,1,10-50,0,1,1,1
TOX-11896,CHLORONEB,"1,4-dichloro-2,5-dimethoxybenzene",17581,COc1cc(Cl)c(OC)cc1Cl,PFIADAMVCJPXSF-UHFFFAOYSA-N,4999.855106,4,>2000,0,0,0,0
TOX-11906,,"(3,4,5-trimethylphenyl) N-methylcarbamate",17592,CNC(=O)Oc1cc(C)c(C)c(C)c1,AUQAUAIUNJIIEP-UHFFFAOYSA-N,9.99968952,0,<10,1,1,1,1
TOX-12136,,"N-[ethoxy-(2,4,5-trichlorophenoxy)phosphoryl]ethanamine",76117,CCNP(=O)(OCC)Oc1cc(Cl)c(Cl)cc1Cl,PMWRWPFHACHCIJ-UHFFFAOYSA-N,23.99631938,1,10-50,0,1,1,1
TOX-12138,,10-chlorophenoxarsinine,17865,Cl[As]1c2ccccc2Oc2ccccc21,RUZFPOBOXIDMSZ-UHFFFAOYSA-N,99.99641028,2,50-500,0,0,1,1
TOX-12251,,(5-butan-2-yl-2-chlorophenyl) N-methylcarbamate,18014,CCC(C)c1ccc(Cl)c(OC(=O)NC)c1,UMLPZOSFQDBWHB-UHFFFAOYSA-N,2.399920571,0,<10,1,1,1,1
TOX-12260,chlorpyrifos,"diethoxy-sulfanylidene-(3,5,6-trichloropyridin-2-yl)oxy-lambda5-phosphane",2730,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,SBPBAQFWLVIOKP-UHFFFAOYSA-N,5.000128353,0,<10,1,1,1,1
TOX-12353,,ethyl-methoxy-(4-methylphenyl)sulfanyl-sulfanylidene-lambda5-phosphane,76327,CCP(=S)(OC)Sc1ccc(C)cc1,ZFCPXXRQFQJJAA-UHFFFAOYSA-N,5.599158877,0,<10,1,1,1,1
TOX-12469,Hexafosfamid,N-[bis(aziridin-1-yl)phosphinothioyl]cyclohexanamine,96272,S=P(NC1CCCCC1)(N1CC1)N1CC1,RDAHFZJUOCJYHC-UHFFFAOYSA-N,9.999918485,0,<10,1,1,1,1
TOX-12489,Demethylfenthion,dimethoxy-(4-methylsulfanylphenoxy)-sulfanylidene-lambda5-phosphane,165070,COP(=S)(OC)Oc1ccc(SC)cc1,WLMKOQQZIYFJQU-UHFFFAOYSA-N,0.499984866,0,<10,1,1,1,1
TOX-12655,,[4-[(4-dimethoxyphosphinothioyloxyphenyl)disulfanyl]phenoxy]-dimethoxy-sulfanylidene-lambda5-phosphane,76886,COP(=S)(OC)Oc1ccc(SSc2ccc(OP(=S)(OC)OC)cc2)cc1,NCPYQDKEACAFNC-UHFFFAOYSA-N,1.499861598,0,<10,1,1,1,1
TOX-12699,temephos,[4-(4-dimethoxyphosphinothioyloxyphenyl)sulfanylphenoxy]-dimethoxy-sulfanylidene-lambda5-phosphane,5392,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,WWJZWCUNLNYYAU-UHFFFAOYSA-N,32.00144059,1,10-50,0,1,1,1
TOX-12958,,1-hydroxypyridin-4-imine,19055,Nc1cc[n+]([O-])cc1,SJQWWHFNDOUAGY-UHFFFAOYSA-N,84.9953686,2,50-500,0,0,1,1
TOX-12965,,3-aminobenzamide,1645,NC(=O)c1cccc(N)c1,GSCPDZHWVNUUFI-UHFFFAOYSA-N,999.970621,3,500-2000,0,0,0,1
TOX-13002,,(3-methyl-4-methylsulfanylphenyl) N-methylcarbamate,19106,CNC(=O)Oc1ccc(SC)c(C)c1,SLZKSCPVPMUGAP-UHFFFAOYSA-N,39.99886409,1,10-50,0,1,1,1
TOX-13029,Ethomoxane,"N-[(5-ethoxy-2,3-dihydro-1,4-benzodioxin-3-yl)methyl]butan-1-amine",19127,CCCCNCC1COc2cccc(OCC)c2O1,WKRAEDUMAWVCOC-UHFFFAOYSA-N,99.99886943,2,50-500,0,0,1,1
TOX-13169,,N-[bis(aziridin-1-yl)phosphinothioyl]-N-methylmethanamine,134568,CN(C)P(=S)(N1CC1)N1CC1,IXOXBOSWSMBIRQ-UHFFFAOYSA-N,13.3,1,10-50,0,1,1,1
TOX-13349,Ioxynil octanoate,"(4-cyano-2,6-diiodophenyl) octanoate",19730,CCCCCCCC(=O)Oc1c(I)cc(C#N)cc1I,QBEXFUOWUYCXNI-UHFFFAOYSA-N,999.9919539,3,500-2000,0,0,0,1
TOX-13482,,"(2,3,4-trimethylphenyl) N-methylcarbamate",19873,CNC(=O)Oc1ccc(C)c(C)c1C,QDTDXNJDLXKLLJ-UHFFFAOYSA-N,41.99869595,1,10-50,0,1,1,1
TOX-13493,Fenchlorphos-oxon,"dimethyl (2,4,5-trichlorophenyl) phosphate",77602,COP(=O)(OC)Oc1cc(Cl)c(Cl)cc1Cl,XWMMHXRGYYPFAV-UHFFFAOYSA-N,18.00111953,1,10-50,0,1,1,1
TOX-13640,PHOSACETIM,N'-bis(4-chlorophenoxy)phosphinothioylethanimidamide,20056,CC(N)=NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,XIBXUAZIZXDFTG-UHFFFAOYSA-N,4.199809714,0,<10,1,1,1,1
TOX-13646,Ethyl carbazate,ethyl N-aminocarbamate,20064,CCOC(=O)NN,VYSYZMNJHYOXGN-UHFFFAOYSA-N,23.70022764,1,10-50,0,1,1,1
TOX-14077,,"2,4,5-trimethoxybenzaldehyde",20525,COc1cc(OC)c(OC)cc1C=O,IAJBQAYHSQIQRE-UHFFFAOYSA-N,421.9956984,2,50-500,0,0,1,1
